групи споживачів;Адміністративний район;місто / селище / підприємство;вулиця;номер буд
1.2;Чортківський район;Шипівці;всі;всі
1.2;Чортківський район;Поділля;всі;всі
1.2;Чортківський район;Кошилівці;всі;всі
1.2;Чортківський район;Ангелівка;всі;всі
1.2;Чортківський район;Попівці;всі;всі
1.2;Чортківський район;Слобідка;всі;всі
1.2;Чортківський район;Свершківці;всі;всі
1.2;Чортківський район;Дорогичівка;всі;всі
1.2;Чортківський район;Хмелева;всі;всі
1.2;Чортківський район;Литячі;всі;всі
1.2;Чортківський район;Шутроминці;всі;всі
1.2;Чортківський район;Садки;всі;всі
1.2;Чортківський район;Устечко;всі;всі
1.2;Чортківський район;Нагіряни;всі;всі
1.2;Чортківський район;Торське;всі;всі
1.2;Чортківський район;Нирків;всі;всі
1.2;Чортківський район;Якубівка;всі;всі
1.2;Чортківський район;Печорна;всі;всі
1.2;Чортківський район;Іване-Золоте;всі;всі
1.2;Чортківський район;Зелений Гай;всі;всі
1.2;Чортківський район;Ворвулинці;всі;всі
1.2;Чортківський район;Угриньківці;всі;всі
1.2;Чортківський район;Глушка;всі;всі
1.2;Чортківський район;Харитонівці;всі;всі
1.2;Чортківський район;Гиньківці;всі;всі
1.2;Чортківський район;Бересток;всі;всі
1.2;Чортківський район;Синьків;всі;всі
1.2;Чортківський район;Колодрібка;всі;всі
1.2;Чортківський район;Зозулинці;всі;всі
1.2;Чортківський район;Солоне;всі;всі
1.2;Чортківський район;Рожанівка;всі;всі
1.2;Чортківський район;Свидова;всі;всі
1.2;Чортківський район;Мухавка ;Незалежності;всі
1.2;Чортківський район;Антонів;всі;всі
1.2;Тернопіль;Тернопіль;Лучаківського;всі
1.2;Тернопіль;Тернопіль;Просвіти;всі
1.2;Тернопіль;Тернопіль;Степана Будного;3В
1.2;Тернопіль;Тернопіль;Степана Будного;14
1.2;Тернопіль;Тернопіль;Степана Будного;15
1.2;Тернопіль;Тернопіль;Степана Будного;16
1.2;Тернопіль;Тернопіль;Степана Будного;17
1.2;Тернопіль;Тернопіль;Степана Будного;18
1.2;Тернопіль;Тернопіль;Степана Будного;19
1.2;Тернопіль;Тернопіль;Степана Будного;20
1.2;Тернопіль;Тернопіль;Степана Будного;21
1.2;Тернопіль;Тернопіль;Степана Будного;22
1.2;Тернопіль;Тернопіль;Степана Будного;23
1.2;Тернопіль;Тернопіль;Степана Будного;24
1.2;Тернопіль;Тернопіль;Степана Будного;25
1.2;Тернопіль;Тернопіль;Степана Будного;26
1.2;Тернопіль;Тернопіль;Степана Будного;27
1.2;Тернопіль;Тернопіль;Степана Будного;28
1.2;Тернопіль;Тернопіль;Степана Будного;29
1.2;Тернопіль;Тернопіль;Степана Будного;30
1.2;Тернопіль;Тернопіль;Степана Будного;31
1.2;Тернопіль;Тернопіль;Степана Будного;32
1.2;Тернопіль;Тернопіль;Степана Будного;33
1.2;Тернопіль;Тернопіль;Степана Будного;34
1.2;Тернопіль;Тернопіль;Громницького;всі
1.2;Тернопіль;Тернопіль;Карпенка;всі
1.2;Тернопіль;Тернопіль;Винниченка;всі
1.2;Тернопіль;Тернопіль;Юності;всі
1.2;Тернопіль;Тернопіль;Орлика;всі
1.2;Тернопіль;Тернопіль;Кривоноса;всі
1.2;Тернопіль;Тернопіль; Короля (Бережанська);всі
1.2;Тернопіль;Тернопіль;Дружби;всі
1.2;Тернопіль;Тернопіль;Миру;всі
1.2;Тернопіль;Тернопіль;Драгоманова;всі
1.2;Тернопіль;Тернопіль;Мазепи;всі
1.2;Тернопіль;Тернопіль;Тісна;всі
1.2;Тернопіль;Тернопіль;Тбіліська;всі
1.2;Тернопіль;Тернопіль;Петриківська;всі
1.2;Тернопіль;Тернопіль;Виговського;всі
1.2;Тернопіль;Тернопіль;І. Бриковича;всі
1.2;Тернопіль;Тернопіль;Липова;39А
